pruid,prname,prnameFR,date,update,numconf,numprob,numdeaths,numtotal,numtested,numtests,numrecover,percentrecover,ratetested,ratetests,numtoday,percentoday,ratetotal,ratedeaths,numdeathstoday,percentdeath,numtestedtoday,numteststoday,numrecoveredtoday,percentactive,numactive,rateactive,numtotal_last14,ratetotal_last14,numdeaths_last14,ratedeaths_last14,numtotal_last7,ratetotal_last7,numdeaths_last7,ratedeaths_last7,avgtotal_last7,avgincidence_last7,avgdeaths_last7,avgratedeaths_last7
59,British Columbia,Colombie-Britannique,5/24/2020,,2517,0,157,2517,113159,,2057,81.72,21982,,0,0,48.9,3.05,0,6.24,1613,,0,12.04,303,5.89,187,3.63,28,0.54,89,1.73,16,0.31,13,0.25,2,0.04
48,Alberta,Alberta,5/24/2020,,6860,0,135,6860,216168,,5924,86.36,48886,,42,0.62,155.14,3.05,0,1.97,3444,,55,11.68,801,18.11,607,13.73,18,0.41,216,4.88,8,0.18,31,0.7,1,0.03
47,Saskatchewan,Saskatchewan,5/24/2020,,632,0,7,632,39925,,538,85.13,33873,,2,0.32,53.62,0.59,0,1.11,366,,3,13.77,87,7.38,68,5.77,1,0.08,40,3.39,1,0.08,6,0.48,0,0.01
46,Manitoba,Manitoba,5/24/2020,,281,11,7,292,37903,,268,91.78,27481,,0,0,21.17,0.51,0,2.4,878,,0,5.82,17,1.23,5,0.36,0,0,3,0.22,0,0,0,0.03,0,0
35,Ontario,Ontario,5/24/2020,,25500,0,2083,25500,591377,,19477,76.38,40137,,460,1.84,173.07,14.14,25,8.17,11011,,331,15.45,3940,26.74,5262,35.71,444,3.01,2847,19.32,192,1.3,407,2.76,27,0.19
24,Quebec,Québec,5/24/2020,,47411,0,3984,47411,380061,,14331,30.23,44324,,573,1.22,552.93,46.46,44,8.4,9241,,287,61.37,29096,339.33,9690,113.01,1056,12.32,4491,52.38,422,4.92,642,7.48,60,0.7
10,Newfoundland and Labrador,Terre-Neuve-et-Labrador,5/24/2020,,260,0,3,260,11285,,254,97.69,21615,,0,0,49.8,0.57,0,1.15,78,,0,1.15,3,0.57,-1,-0.19,0,0,0,0,0,0,0,0,0,0
13,New Brunswick,Nouveau-Brunswick,5/24/2020,,121,0,0,121,20764,,120,99.17,26570,,0,0,15.48,0,0,0,201,,0,0.83,1,0.13,1,0.13,0,0,1,0.13,0,0,0,0.02,0,0
12,Nova Scotia,Nouvelle-Écosse,5/24/2020,,1050,0,58,1050,39330,,973,92.67,40159,,1,0.1,107.21,5.92,0,5.52,358,,4,1.81,19,1.94,32,3.27,11,1.12,10,1.02,3,0.31,1,0.15,0,0.04
11,Prince Edward Island,Île-du-Prince-Édouard,5/24/2020,,27,0,0,27,5482,,27,100,34343,,0,0,16.91,0,0,0,102,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
